type,english,japanese
phrase,hello,こんにちは
phrase,hi,やあ
phrase,good morning,おはよう
phrase,good afternoon,こんにちは
phrase,good evening,こんばんは
phrase,good night,おやすみ
phrase,goodbye,さようなら
phrase,see you,またね
phrase,see you later,またあとで
phrase,thank you,ありがとう
phrase,thank you very much,どうもありがとうございます
phrase,you are welcome,どういたしまして
phrase,excuse me,すみません
phrase,I'm sorry,ごめんなさい
phrase,how are you?,元気ですか
phrase,I'm fine.,元気です
phrase,nice to meet you,はじめまして
phrase,what is your name?,あなたの名前は何ですか
phrase,my name is,私の名前は〜です
phrase,how old are you?,何歳ですか
word,I,私は
word,you,あなたは
word,he,彼は
word,she,彼女は
word,it,それは
word,we,私たちは
word,they,彼らは
word,me,私を
word,him,彼を
word,her,彼女を
word,us,私たちを
word,them,彼らを
word,my,私の
word,your,あなたの
word,his,彼の
word,her,彼女の
word,our,私たちの
word,their,彼らの
word,this,これ
word,that,あれ
word,these,これら
word,those,あれら
word,a,ひとつの
word,an,ひとつの
word,the,その
word,
word,be,〜である
word,have,持っている
word,has,持っている
word,do,する
word,does,する
word,go,行く
word,come,来る
word,get,得る
word,make,作る
word,play,遊ぶ
word,read,読む
word,write,書く
word,speak,話す
word,say,言う
word,see,見る
word,look,見る
word,watch,見る
word,listen,聞く
word,hear,聞こえる
word,eat,食べる
word,drink,飲む
word,walk,歩く
word,run,走る
word,swim,泳ぐ
word,sleep,眠る
word,study,勉強する
word,teach,教える
word,learn,学ぶ
word,open,開ける
word,close,閉める
word,help,助ける
word,like,好き
word,love,愛する
word,want,ほしい
word,need,必要とする
word,know,知っている
word,think,思う
word,live,住む
word,work,働く
word,call,呼ぶ
word,give,与える
word,take,取る
word,put,置く
word,find,見つける
word,buy,買う
word,sell,売る
word,meet,会う
word,start,始める
word,finish,終える
word,yes,はい
word,no,いいえ
word,not,〜でない
word,and,そして
word,but,しかし
word,or,または
word,with,〜と一緒に
word,for,〜のために
word,to,〜へ
word,from,〜から
word,in,〜の中に
word,on,〜の上に
word,under,〜の下に
word,by,〜のそばに
word,at,〜で
word,of,〜の
word,about,〜について
word,after,〜のあとで
word,before,〜の前に
word,between,〜の間に
word,near,近くに
word,here,ここ
word,there,そこ
word,where,どこ
word,when,いつ
word,who,だれ
word,what,何
word,which,どちら
word,why,なぜ
word,how,どのように
word,father,父
word,mother,母
word,brother,兄・弟
word,sister,姉・妹
word,grandfather,祖父
word,grandmother,祖母
word,family,家族
word,baby,赤ちゃん
word,boy,男の子
word,girl,女の子
word,man,男性
word,woman,女性
word,friend,友達
word,teacher,先生
word,student,生徒
word,class,授業
word,classroom,教室
word,school,学校
word,desk,机
word,chair,いす
word,book,本
word,notebook,ノート
word,pen,ペン
word,pencil,鉛筆
word,eraser,消しゴム
word,bag,かばん
word,box,箱
word,door,ドア
word,window,窓
word,computer,コンピューター
word,apple,りんご
word,banana,バナナ
word,orange,オレンジ
word,grape,ぶどう
word,peach,もも
word,melon,メロン
word,lemon,レモン
word,strawberry,いちご
word,bread,パン
word,rice,ご飯
word,cake,ケーキ
word,egg,卵
word,milk,牛乳
word,water,水
word,juice,ジュース
word,tea,お茶
word,coffee,コーヒー
word,fish,魚
word,meat,肉
word,chicken,鶏肉
word,dog,犬
word,cat,猫
word,bird,鳥
word,fish,魚
word,rabbit,うさぎ
word,horse,馬
word,cow,牛
word,pig,豚
word,monkey,猿
word,lion,ライオン
word,tiger,トラ
word,elephant,象
word,bear,くま
word,red,赤
word,blue,青
word,yellow,黄色
word,green,緑
word,black,黒
word,white,白
word,brown,茶色
word,pink,ピンク
word,one,1
word,two,2
word,three,3
word,four,4
word,five,5
word,six,6
word,seven,7
word,eight,8
word,nine,9
word,ten,10
word,Sunday,日曜日
word,Monday,月曜日
word,Tuesday,火曜日
word,Wednesday,水曜日
word,Thursday,木曜日
word,Friday,金曜日
word,Saturday,土曜日
